Feature,Importance
prop_id,3722
price_usd,3556
srch_children_count_prop_id_mean,3183
prop_location_score2,3098
srch_room_count_prop_id_mean,3001
srch_length_of_stay_prop_id_mean,2943
prop_log_historical_price_prop_id_mean,2852
srch_query_affinity_score_prop_id_mean,2847
prop_location_score2_prop_id_mean,2832
srch_adults_count_prop_id_mean,2820
price_location_ratio,2755
srch_booking_window,2747
price_per_person,2659
price_usd_prop_id_mean,2486
srch_destination_id,2478
srch_booking_window_prop_id_mean,2478
orig_destination_distance_prop_id_mean,2455
price_per_adult,2441
price_usd_prop_id_median,2419
prop_log_historical_price_prop_id_median,2407
prop_location_score2_prop_id_median,2395
prop_log_historical_price,2353
people_location_interaction,2257
visitor_hist_adr_usd_prop_id_mean,2250
visitor_hist_starrating_prop_id_mean,2193
orig_destination_distance,2164
comp2_rate_percent_diff_prop_id_mean,2093
prop_location_score1,2047
srch_booking_window_prop_id_median,1958
orig_destination_distance_prop_id_median,1638
rating_review_interaction,1165
visitor_location_country_id,958
site_id,902
srch_length_of_stay,888
prop_country_id,753
prop_review_score,652
comp2_rate_percent_diff,629
srch_query_affinity_score,552
random_bool,518
prop_starrating,431
hist_price_interaction,378
prop_clicked_prob,352
prop_historical_price,339
people_per_room,297
comp1_rate_percent_diff_prop_id_mean,265
srch_length_of_stay_prop_id_median,255
prop_location_score1_prop_id_mean,221
visitor_hist_adr_usd,216
visitor_hist_starrating,209
prop_brand_bool,203
promotion_flag,197
srch_adults_count,190
srch_children_count,173
comp2_rate_percent_diff_prop_id_median,160
srch_query_affinity_score_prop_id_median,134
srch_saturday_night_bool,112
comp3_rate,100
srch_room_count,92
comp2_rate,90
comp1_rate_percent_diff,80
prop_review_score_prop_id_mean,75
comp2_inv,61
comp3_inv,51
prop_starrating_prop_id_mean,44
comp1_rate_percent_diff_prop_id_median,43
comp1_rate,20
srch_adults_count_prop_id_median,20
prop_location_score1_prop_id_median,17
prop_review_score_prop_id_median,8
child_bool,7
srch_children_count_prop_id_median,7
comp1_inv,6
prop_starrating_prop_id_median,2
visitor_hist_adr_usd_prop_id_median,1
srch_room_count_prop_id_median,0
visitor_hist_starrating_prop_id_median,0
bool_visitor_hist,0
