Feature,Importance
prop_id,9708
prop_location_score1,8344
srch_destination_id,7119
prop_location_score2,5418
price_per_person,5383
prop_log_historical_price,5140
price_usd,4866
price_per_adult,4750
srch_booking_window,3987
prop_country_id,3468
prop_location_score2_prop_id_mean,3366
orig_destination_distance,2834
price_usd_prop_id_mean,2610
prop_review_score,2579
visitor_location_country_id,2467
prop_log_historical_price_prop_id_mean,2453
orig_destination_distance_prop_id_mean,2282
site_id,2156
srch_booking_window_prop_id_mean,2122
comp5_rate_percent_diff,1931
prop_starrating,1526
prop_location_score1_prop_id_mean,1407
comp3_rate_percent_diff,1332
srch_length_of_stay,1287
comp8_rate_percent_diff,1248
comp2_rate_percent_diff,1123
srch_length_of_stay_prop_id_mean,908
visitor_hist_adr_usd,667
price_usd_prop_id_median,645
srch_query_affinity_score,637
comp2_rate_percent_diff_prop_id_mean,618
prop_location_score2_prop_id_median,538
srch_query_affinity_score_prop_id_mean,537
random_bool,529
comp7_rate_percent_diff,525
visitor_hist_starrating,508
prop_log_historical_price_prop_id_median,484
prop_review_score_prop_id_mean,474
srch_booking_window_prop_id_median,448
comp4_rate_percent_diff,446
prop_brand_bool,422
prop_clicked_prob,421
prop_historical_price,400
orig_destination_distance_prop_id_median,398
comp5_rate,381
promotion_flag,351
srch_children_count,344
prop_starrating_prop_id_mean,333
comp6_rate_percent_diff,327
comp8_rate,310
visitor_hist_adr_usd_prop_id_mean,287
prop_location_score1_prop_id_median,285
srch_children_count_prop_id_mean,251
srch_adults_count,246
srch_adults_count_prop_id_mean,216
srch_length_of_stay_prop_id_median,209
comp1_rate_percent_diff,201
comp2_rate,201
comp5_inv,197
visitor_hist_starrating_prop_id_mean,174
comp2_inv,161
comp3_rate,157
srch_room_count,156
srch_room_count_prop_id_mean,148
comp2_rate_percent_diff_prop_id_median,119
comp3_inv,116
srch_query_affinity_score_prop_id_median,111
prop_review_score_prop_id_median,106
price_usd_srch_id_mean,103
srch_saturday_night_bool,101
prop_location_score2_srch_id_mean,101
prop_starrating_prop_id_median,83
comp1_rate_percent_diff_prop_id_mean,82
comp4_rate,80
comp7_rate,73
visitor_hist_adr_usd_prop_id_median,73
orig_destination_distance_srch_id_mean,72
srch_booking_window_srch_id_mean,65
prop_log_historical_price_srch_id_mean,64
comp8_inv,60
srch_children_count_prop_id_median,50
prop_location_score1_srch_id_mean,42
srch_adults_count_prop_id_median,37
visitor_hist_starrating_prop_id_median,34
comp1_rate,33
comp6_rate,33
srch_length_of_stay_srch_id_mean,27
comp4_inv,22
orig_destination_distance_srch_id_median,21
comp2_rate_percent_diff_srch_id_mean,21
price_usd_srch_id_median,20
comp6_inv,20
prop_log_historical_price_srch_id_median,17
comp7_inv,17
srch_children_count_srch_id_mean,17
comp1_rate_percent_diff_prop_id_median,16
srch_room_count_prop_id_median,14
srch_query_affinity_score_srch_id_mean,14
prop_location_score2_srch_id_median,9
srch_adults_count_srch_id_mean,8
srch_booking_window_srch_id_median,8
srch_length_of_stay_srch_id_median,8
visitor_hist_adr_usd_srch_id_mean,7
prop_review_score_srch_id_mean,7
visitor_hist_starrating_visitor_location_country_id_mean,6
comp1_rate_percent_diff_srch_id_mean,6
visitor_hist_starrating_srch_id_mean,4
srch_room_count_srch_id_median,4
comp2_rate_percent_diff_srch_id_median,4
srch_query_affinity_score_srch_id_median,4
prop_starrating_srch_id_mean,4
price_usd_visitor_location_country_id_mean,3
prop_location_score2_visitor_location_country_id_mean,3
prop_review_score_visitor_location_country_id_mean,2
prop_starrating_srch_id_median,2
srch_room_count_srch_id_mean,1
bool_visitor_hist,0
visitor_hist_starrating_srch_id_median,0
visitor_hist_adr_usd_srch_id_median,0
visitor_hist_adr_usd_visitor_location_country_id_median,0
prop_log_historical_price_visitor_location_country_id_mean,0
comp2_rate_percent_diff_visitor_location_country_id_mean,0
prop_review_score_srch_id_median,0
prop_location_score1_visitor_location_country_id_median,0
prop_location_score1_srch_id_median,0
child_bool,0
