srch_id,prop_id
1,99484
1,61934
1,54937
1,28181
1,24194
1,34263
1,50162
1,95031
1,82231
1,90385
1,5543
1,74045
1,63894
1,78599
1,3180
1,72090
1,123675
1,14142
1,37567
1,94729
1,128085
1,22393
1,73666
1,89466
1,128871
1,134992
1,56050
1,139162
1,61632
3,131940
3,63039
3,79176
3,47377
3,27753
3,46861
3,32382
3,43133
3,80734
3,91337
3,132637
3,6533
3,11425
3,24915
3,96614
3,131968
3,93176
3,71543
3,43362
3,22325
3,64168
3,47238
3,119120
3,124819
3,90968
3,45550
3,131397
6,31470
6,24695
6,139558
6,49926
6,22970
6,5333
6,71770
6,83424
6,55152
6,103320
7,8891
7,110442
7,95338
7,28570
7,139434
7,20852
7,92347
7,140094
7,113456
7,42035
7,97821
7,18768
7,112814
7,85859
7,28031
7,100665
7,6536
7,36908
7,89375
7,107796
7,130919
7,88320
7,80954
7,55244
7,6514
7,63861
7,48813
10,123801
10,31281
10,78989
10,94138
10,37616
10,92193
10,90052
10,109983
10,11203
10,129263
10,136210
10,39517
10,62403
10,59466
10,103583
10,80396
10,23777
10,56573
10,83789
10,10987
10,84447
10,1147
10,37420
10,101198
10,43662
10,79561
10,40475
11,61719
11,107606
11,52891
11,58170
11,73924
11,23470
11,51601
11,31124
11,43211
11,76397
11,43598
11,133247
11,111666
11,67943
11,122680
11,18714
11,22204
11,11702
11,52624
11,104778
11,69531
11,101337
11,78574
11,81129
11,75191
11,53478
11,113015
11,19917
11,133385
11,112543
11,84922
11,28164
12,31442
12,92698
12,130968
12,40463
12,31945
12,41585
12,99894
12,135195
12,121586
12,37788
12,67688
12,35043
12,9522
12,33163
12,11414
12,68783
12,41368
12,131345
12,137592
12,27711
12,121665
12,110963
12,18859
12,18569
12,114777
12,125611
12,44879
12,70352
12,42875
12,125447
12,65983
12,43966
12,102112
13,98818
13,70074
13,86456
13,118530
13,117689
13,129754
13,102855
13,17725
13,108917
13,109492
13,90165
13,116972
13,92036
13,109226
13,88356
13,25440
13,79799
13,13772
13,70485
13,109174
13,1798
13,98210
13,74562
14,22792
14,86372
14,59253
14,86145
14,32517
14,62331
14,104704
14,131383
14,138336
14,83393
14,15713
14,590
14,76904
14,96964
14,24520
14,106205
14,132465
14,71789
14,119788
14,58147
14,34989
14,58087
14,64612
14,97545
16,76727
16,123206
16,27470
16,69132
16,100509
16,139570
16,56082
16,67764
16,16141
16,28182
16,128293
16,99826
16,50074
16,44243
16,47388
16,8078
16,47154
16,81765
16,131680
16,11159
16,67560
16,62345
16,101180
16,64114
16,106116
16,26949
16,68922
16,32851
16,74821
16,13703
16,50413
16,89168
17,126397
17,73258
17,104384
17,87646
17,121335
17,120801
17,30228
17,76563
17,118613
18,128062
18,125450
18,24890
18,31292
18,56270
18,139376
18,56887
18,101302
18,7881
18,113593
18,5571
18,59231
18,133715
18,103469
18,133291
18,84958
18,91053
18,88787
18,103043
18,74260
18,119027
18,100626
18,24428
18,129010
18,25672
18,42035
18,103250
18,61662
18,132662
18,33676
18,138169
19,27718
19,54259
19,956
19,95939
19,80258
19,30729
19,101524
19,16875
19,57609
19,122653
19,41299
19,106375
19,125853
19,10186
19,56038
19,79384
23,60931
23,127938
23,132633
23,43404
23,72977
23,21728
23,21870
23,27529
23,128937
23,60844
23,71445
23,134029
23,48797
23,132622
23,108102
23,79350
23,101849
23,86196
23,15773
23,109339
23,48237
23,69193
23,17654
23,99732
23,105871
23,68811
23,43963
23,135300
23,12355
23,129573
23,113745
23,750
24,65750
24,88202
24,19940
24,19117
24,136582
24,12546
24,120880
24,138694
24,79947
24,99017
24,33542
24,97980
24,33301
24,104864
24,129304
24,75098
24,121354
24,42659
24,80873
24,20119
24,58289
24,4464
24,46961
24,118293
24,64692
24,127015
24,76437
24,58810
24,12482
24,71774
24,92879
24,138981
24,25177
25,56775
25,127609
25,84227
25,60230
25,50237
25,9677
25,111938
25,126234
25,91753
25,71045
25,129713
25,106199
25,68667
25,55738
25,128472
25,52097
27,4094
27,134503
27,98429
27,21337
27,76893
27,45787
27,56627
27,118521
27,36199
27,131391
27,40876
27,117764
27,33782
27,138011
27,86802
27,53814
27,114426
27,76974
27,106648
27,34279
27,39073
27,63707
27,101238
27,90022
27,95876
27,46797
27,91041
27,32631
27,57589
28,27788
28,119653
28,118188
28,96426
28,9696
28,97937
28,66648
28,4106
28,49601
28,105336
28,4435
28,123706
30,2223
30,38139
30,66727
30,34857
30,8168
30,136920
32,133528
32,54493
32,116133
32,1263
32,114283
32,11166
32,26521
32,44801
32,76759
32,43779
32,12394
32,121972
32,23206
32,132403
32,19333
32,74108
32,86231
32,67177
32,130645
32,3797
32,32222
32,101104
